"x","y","point_count","mean_height_m","sd_height_m","p25_height_m","p50_height_m","p75_height_m","p90_height_m","p95_height_m","p98_height_m","maximum_height_m","returns_above_2m_percent","returns_above_mean_percent","canopy_relief_ratio"
684970,5017930,553,15.2760397830018,5.90866917553781,12.72,17.4,19.55,20.768,21.394,21.86,23.06,92.2242314647378,63.2911392405063,0.662447518777182
684990,5017930,377,15.9954376657825,5.79876943860403,13.69,17.74,19.95,21.292,21.996,22.6036,24.12,93.8992042440318,64.7214854111406,0.663160765579705
684770,5017910,327,3.62804281345566,4.79440034678769,0,0.2,7.93,10.958,12.438,14.3908,16.19,38.5321100917431,38.5321100917431,0.224091588230739
684790,5017910,576,6.28258680555556,5.38429048987963,0.175,6.72,10.005,13.955,15.4725,17.175,19.27,65.9722222222222,52.2569444444444,0.326029413884564
684810,5017910,735,12.6230340136054,5.29400920147217,8.94,13.06,16.84,19.08,20.506,21.3832,22.4,95.374149659864,54.2857142857143,0.563528304178814
684830,5017910,773,13.4379948253558,6.21873902133843,8.63,13.88,18.49,21.372,23.278,24.1168,25.25,95.8602846054334,51.875808538163,0.532197814865574
684850,5017910,706,14.1990084985836,6.41188996445196,9.64,14.745,19.5725,22.03,22.7925,23.902,26.07,94.4759206798867,53.257790368272,0.544649347855143
684870,5017910,695,14.8451510791367,7.14939591159794,9.215,16.46,20.77,23.16,24.547,25.372,26.62,93.3812949640288,55.1079136690647,0.557669086368771
684890,5017910,648,17.3462808641975,6.27394306410959,14.9675,19.445,21.8475,23.233,24.059,24.8472,25.77,96.2962962962963,64.8148148148148,0.673119164307238
684910,5017910,712,15.2816713483146,7.14989342332965,9.33,16.855,20.765,23.619,25.1345,26.3168,28.56,93.8202247191011,56.6011235955056,0.535072526201492
684930,5017910,671,16.0209687034277,6.47767298257394,12.205,18.46,21.06,22.46,22.9,23.358,24.4,96.8703427719821,63.1892697466468,0.656597078009333
684950,5017910,626,16.6753194888179,6.3714604148314,13.8325,18.86,21.37,22.375,22.7775,23.41,25.16,94.2492012779553,64.2172523961661,0.662771044865576
684970,5017910,632,16.4315189873418,5.97092871880837,13.6625,18.22,20.8225,22.176,23.369,24.0028,25.05,94.7784810126582,60.7594936708861,0.655948861770131
684990,5017910,362,14.1644475138122,5.66066824053226,10.7025,15.595,18.5675,20.246,21.029,21.4612,22.2,93.9226519337017,61.6022099447514,0.638038176297845
684770,5017890,21,0.0604761904761905,0.119894795152925,0,0,0.06,0.15,0.38,0.398,0.41,0,23.8095238095238,0.147502903600465
684790,5017890,243,2.75567901234568,5.47225638375972,0,0.1,0.32,12.638,14.655,18.9116,19.78,21.8106995884774,21.3991769547325,0.139316431362269
684810,5017890,778,14.5872493573265,5.74614768985694,10.725,16.115,19.51,20.64,21.153,21.803,23.09,95.758354755784,56.426735218509,0.631756143669401
684830,5017890,611,14.882798690671,6.95418882073891,8.845,17.23,20.395,22.39,23.355,24.768,27.37,93.4533551554828,59.4108019639935,0.5437631965901
684850,5017890,713,13.0002945301543,5.65734491241908,9.65,13.31,17.52,19.342,21.368,22.4352,25.03,92.2861150070126,51.6129032258064,0.519388514988185
684870,5017890,687,15.5114847161572,8.02119432714381,7.98,17.55,22.795,24.668,25.155,25.7528,26.5,93.8864628820961,55.6040756914119,0.585339045892725
684890,5017890,698,14.8965329512894,7.37147997943072,7.29,17.395,21.305,22.853,23.4975,24.11,25.78,93.2664756446991,60.8882521489971,0.577832930616346
