"treeID","Z"
269,24.8088889651828
270,22.2177772521973
271,23.4555553860135
272,16.9977777269151
273,23.3466669718424
274,22.1733334859212
275,23.5755553775364
276,19.0766667260064
277,22.8011107974582
278,22.9377780490451
279,23.8311108483209
280,22.545555750529
281,24.8666667938232
282,22.9800001780192
283,17.2822223239475
284,21.1488889058431
285,22.0044447580973
286,23.2466665903727
287,21.0811114841037
288,23.1188888549805
289,23.0544448428684
290,21.298888736301
291,22.7166665395101
292,22.5344443851047
293,22.4455551571316
294,15.9211112128364
295,22.4922222561306
296,21.7322224511041
297,21.8311112721761
298,23.8111112382677
299,21.0922224256727
300,21.7633332146539
301,25.083333545261
302,24.7377781338162
303,28.1755555470784
304,23.5744444529216
305,20.037777794732
306,22.7444443172879
307,26.315555996365
308,24.6844444274902
309,24.6266668107775
310,18.763611263699
311,21.4111107720269
312,24.4699999491374
313,24.6577777862549
314,18.0533330705431
315,24.6011108822293
316,26.1800003051758
317,24.2077776590983
318,25.4033332400852
319,22.6766666836209
320,18.6988887786865
321,15.9897222518921
322,21.4155555301242
323,21.2022221883138
324,20.6077774895562
325,22.7866668701172
326,22.1422218746609
327,22.2744443681505
328,20.9211112128364
329,21.1388888888889
330,21.5266662173801
331,22.1188894907633
332,18.1200002034505
333,23.0888885921902
334,22.5755553775364
335,22.9522221883138
336,24.8011114332411
337,25.2044446733263
338,22.2766664293077
339,17.8977779812283
340,22.5166666242811
341,18.4000000423855
342,23.1966660817464
343,22.1111113230387
344,24.1411111619737
345,18.7766666412354
346,23.2022219763862
347,20.682222366333
348,18.9877779218886
349,21.586666531033
350,23.7333335876465
351,14.672222243415
352,22.0555555555556
353,18.0066670311822
354,21.6444447835286
355,23.7144444783529
356,22.9688892364502
357,23.8277776506212
358,23.6388891008165
359,23.1455557081434
360,20.6411113739014
361,22.4766667683919
362,19.5833333333333
363,20.211110856798
364,23.7077776590983
365,17.7866666581896
366,21.0211111704508
367,22.9822224511041
368,20.6333332061768
369,18.8944441477458
370,19.2844445970323
371,23.3044446309408
372,22.382222281562
373,21.7544441223145
374,22.1577777862549
375,20.8988889058431
376,23.9988884396023
377,23.682222366333
378,21.4522224002414
379,22.0188884735107
380,22.7877780066596
381,22.5300000508626
382,11.0622222688463
383,22.9999997880724
384,21.7922223409017
385,20.078888575236
386,20.0127779642741
387,25.6288888719347
388,23.0659722222222
389,21.3611108991835
390,23.1977776421441
391,22.3588892618815
392,22.3088887532552
393,18.2788887023926
394,22.0599998897976
395,18.5033334096273
396,20.550000084771
397,20.3355558183458
398,25.0855556064182
399,25.2700000339084
400,22.2133331298828
401,10.7733334435357
402,21.0333334604899
403,24.6344445546468
